reg_season_Age,reg_season_G,reg_season_GS,reg_season_AS,reg_season_MP,reg_season_FG,reg_season_FGA,reg_season_2P,reg_season_2PA,reg_season_3P,reg_season_3PA,reg_season_FT,reg_season_FTA,reg_season_ORB,reg_season_DRB,reg_season_TRB,reg_season_AST,reg_season_STL,reg_season_BLK,reg_season_TOV,reg_season_PF,reg_season_PTS,reg_season_FG%,reg_season_2P%,reg_season_3P%,reg_season_FT%,reg_season_TS%,reg_season_eFG%,reg_season_Pos,reg_season_WS,reg_season_ORtg,reg_season_DRtg,reg_season_OWS,reg_season_DWS,reg_season_WS/48,reg_season_OBPM,reg_season_DBPM,reg_season_BPM,reg_season_VORP,reg_season_PER,reg_season_ORB%,reg_season_DRB%,reg_season_TRB%,reg_season_AST%,reg_season_STL%,reg_season_BLK%,reg_season_TOV%,reg_season_USG%,Player_Cleaned,Salary,Adjusted Salary
21,67,61,0,29.6,3.1,6.4,2.3,4.1,0.8,2.3,1.8,2.3,1.1,1.9,3.0,1.8,0.8,0.3,0.9,2.4,8.8,0.48,0.555,0.35,0.768,0.589,0.544,G-F,4.2,120.0,113,2.4,1.9,0.103,-2.4,0.7,-1.7,0.1,10.4,4.1,7.1,5.6,8.5,1.4,1.0,10.4,12.4,isaacokoro,6720720.0,7329600.0
28,77,77,0,31.2,2.6,5.8,1.1,1.8,1.5,4.0,0.6,0.7,0.8,3.9,4.8,2.5,1.1,0.4,1.0,2.4,7.4,0.457,0.609,0.389,0.804,0.608,0.591,F,5.5,122.0,111,2.7,2.8,0.109,-0.8,1.7,0.8,1.7,10.3,3.0,13.4,8.4,10.5,1.8,1.2,14.4,9.9,royceoneale,8800000.0,9597258.0
27,56,56,0,28.2,5.7,10.7,5.5,9.7,0.3,1.0,3.3,4.8,3.0,8.1,11.1,2.8,1.1,0.6,2.6,3.4,15.0,0.535,0.563,0.268,0.69,0.586,0.548,C,3.6,112.0,112,2.0,1.7,0.11,0.1,0.2,0.3,0.9,20.0,11.2,32.6,21.5,16.6,1.9,2.1,16.6,23.6,jusufnurkic,12000000.0,13087170.0
25,68,68,1,34.8,8.4,18.3,7.0,13.9,1.4,4.3,2.9,3.6,1.2,7.1,8.3,9.2,2.0,0.3,2.6,2.0,21.1,0.462,0.504,0.327,0.794,0.533,0.5,G,7.3,113.0,108,3.9,3.4,0.149,3.7,1.7,5.4,4.4,22.3,3.5,21.6,12.5,40.6,2.8,0.8,11.8,27.3,dejountemurray,15428880.0,16826699.0
26,75,74,0,29.9,5.0,10.3,3.3,6.1,1.7,4.2,1.0,1.1,0.4,2.7,3.0,4.4,0.7,0.2,1.0,1.2,12.6,0.484,0.545,0.395,0.869,0.583,0.564,G,5.4,120.0,115,3.9,1.5,0.116,0.8,-0.8,0.0,1.1,14.7,1.4,9.6,5.6,21.4,1.2,0.6,8.8,17.4,montemorris,8449074.0,9214539.0
32,54,54,0,29.0,5.6,12.8,3.7,7.7,1.9,5.1,2.4,2.7,0.5,3.9,4.4,2.1,0.5,0.3,1.3,2.1,15.4,0.434,0.478,0.367,0.872,0.549,0.507,F,2.4,108.0,112,0.9,1.5,0.074,-0.3,-1.0,-1.4,0.3,13.7,1.8,14.0,8.1,11.3,0.9,1.0,8.4,23.2,marcusmorris,15627907.0,17043757.0
22,57,57,1,33.1,10.2,20.6,8.6,16.2,1.5,4.5,5.5,7.3,1.4,4.4,5.7,6.7,1.2,0.4,3.4,1.5,27.4,0.493,0.534,0.344,0.761,0.575,0.53,G,6.7,116.0,111,4.6,2.1,0.171,6.2,-0.1,6.1,3.9,24.4,4.2,14.1,9.0,34.1,1.7,1.0,12.6,33.7,jamorant,9603360.0,10473401.0
23,76,37,0,28.1,5.1,10.9,2.9,5.1,2.3,5.8,1.2,1.5,0.5,2.9,3.4,2.9,0.8,0.4,1.6,1.8,13.8,0.473,0.568,0.391,0.795,0.597,0.578,G,3.6,112.0,115,2.3,1.4,0.081,0.5,-1.0,-0.5,0.8,14.4,1.9,11.0,6.4,15.2,1.4,1.2,12.2,20.1,malikmonk,1789256.0,1951358.0
20,69,69,0,33.8,6.1,12.0,5.8,10.7,0.3,1.3,2.4,3.7,2.1,6.2,8.3,2.5,0.8,1.7,1.9,2.1,15.0,0.508,0.541,0.25,0.663,0.549,0.522,F-C,5.2,109.0,107,1.5,3.7,0.107,-0.9,1.5,0.6,1.5,16.1,6.9,19.8,13.5,11.6,1.2,4.4,12.4,20.4,evanmobley,8075160.0,8806749.0
25,67,67,1,33.8,9.2,20.5,5.7,10.8,3.5,9.8,4.0,4.7,0.8,3.4,4.2,5.3,1.5,0.2,3.0,2.4,25.9,0.448,0.533,0.355,0.853,0.572,0.533,G,7.2,114.0,111,4.7,2.5,0.152,4.6,-0.3,4.3,3.6,21.6,2.7,10.6,6.8,27.7,2.2,0.5,11.7,32.9,donovanmitchell,28103500.0,30649609.0
33,81,48,0,29.0,4.0,9.8,1.2,2.8,2.8,7.0,0.6,0.7,0.2,1.7,1.9,2.3,0.6,0.2,0.9,1.4,11.4,0.408,0.429,0.4,0.814,0.563,0.551,G,2.8,112.0,117,1.9,0.9,0.058,-0.3,-1.4,-1.7,0.2,10.4,0.9,6.2,3.6,10.6,1.1,0.6,8.2,16.4,patrickmills,5890000.0,6423619.0
30,66,66,1,32.4,6.8,15.5,4.4,8.9,2.5,6.6,3.9,4.4,0.6,4.8,5.4,5.4,1.2,0.3,2.9,2.4,20.1,0.443,0.494,0.373,0.89,0.577,0.522,F-G,5.3,112.0,112,3.2,2.2,0.119,1.9,-0.3,1.6,1.9,18.1,2.1,15.3,8.8,25.5,1.7,0.8,14.2,26.7,khrismiddleton,35500000.0,38716214.0
30,51,51,0,24.0,4.2,9.1,2.1,4.1,2.1,5.0,0.8,1.0,0.4,1.9,2.3,1.3,0.3,0.1,0.8,1.5,11.3,0.462,0.512,0.422,0.784,0.593,0.578,F,1.6,112.0,118,1.1,0.5,0.062,-0.4,-2.1,-2.5,-0.1,11.4,1.5,8.4,4.9,7.3,0.5,0.4,8.1,18.3,dougmcdermott,13750000.0,14995716.0
21,70,31,0,25.8,3.6,7.9,2.5,4.3,1.1,3.6,0.8,1.0,1.1,3.1,4.2,1.1,0.7,0.8,1.1,3.2,9.2,0.46,0.579,0.317,0.803,0.553,0.532,F,2.4,108.0,113,0.7,1.7,0.065,-2.9,-0.1,-2.9,-0.4,10.3,4.4,13.2,8.7,6.1,1.4,2.9,11.4,15.3,jadenmcdaniels,2063280.0,2250208.0
